City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
294,pierre,44.3683,-100.351,24.92,36,0,2.06,US,1717982923
295,kununurra,-15.7667,128.7333,23.99,33,0,5.66,AU,1717982827
296,vila velha,-20.3297,-40.2925,19.97,94,0,1.03,BR,1717982657
297,afaahiti,-17.75,-149.2833,24.93,87,100,6.82,PF,1717982923
298,fort mcmurray,56.7268,-111.381,11.73,76,100,5.14,CA,1717982923
299,vila franca do campo,37.7167,-25.4333,18.27,99,8,2.34,PT,1717982846
300,bamboo flat,11.7,92.7167,26.05,89,75,1.03,IN,1717982924
301,nelson bay,-32.7167,152.15,16.08,64,6,0.89,AU,1717982924
302,laihia,62.9761,22.0114,5.84,93,0,2.06,FI,1717982924
303,tutoia,-2.7619,-42.2744,25.6,90,100,3.25,BR,1717982924
304,sandnessjoen,66.0217,12.6316,10.29,72,53,3.5,NO,1717982924
305,longyearbyen,78.2186,15.6401,2.91,81,40,2.57,SJ,1717982924
306,carmarthen,51.8555,-4.3054,12.93,82,100,10.8,GB,1717982925
307,santiago de cao,-7.9589,-79.2392,18.07,82,75,3.09,PE,1717982925
308,san miguel de cauri,-10.1,-76.5833,2.77,86,3,0.79,PE,1717982925
309,valle de la pascua,9.2155,-66.0073,24.5,91,100,0.89,VE,1717982925
310,buckhannon,38.994,-80.232,17.33,61,20,3.6,US,1717982838
311,cabinda,-5.55,12.2,23.08,94,0,1.54,AO,1717982925
312,kalabo,-14.97,22.6814,12.77,60,5,3.15,ZM,1717982925
313,cidade velha,14.9167,-23.6167,23.1,81,0,2.28,CV,1717982925
314,moyale,3.5167,39.0584,19.71,65,100,5.6,KE,1717982926
315,al kharijah,25.4514,30.5464,27.77,21,0,3.67,EG,1717982926
316,chabahar,25.2919,60.643,29.69,74,0,1.11,IR,1717982926
317,kalifornsky,60.4183,-151.29,15.04,52,75,6.17,US,1717982926
318,tshabong,-26.05,22.45,8.65,54,19,5.21,BW,1717982926
319,ghat,24.9647,10.1728,28.23,8,0,0.48,LY,1717982894
320,la linea de la concepcion,36.1681,-5.3478,19.99,83,100,4.12,ES,1717982926
321,francistown,-21.17,27.5079,7.71,78,0,3.83,BW,1717982927
322,richards bay,-28.783,32.0377,13.88,72,0,2.63,ZA,1717982927
323,tuxpam de rodriguez cano,20.95,-97.4,31.9,77,12,5.5,MX,1717982927
324,miyaly,48.8844,53.7836,21.49,60,100,1.66,KZ,1717982927
325,tolanaro,-25.0319,46.9987,16.04,88,75,2.06,MG,1717982927
326,villa gesell,-37.2639,-56.973,13.36,84,100,9.12,AR,1717982644
327,zapala,-38.8992,-70.0544,6.6,67,13,3.42,AR,1717982927
328,kristiansund,63.1115,7.732,11.3,87,100,4.63,NO,1717982927
329,ahwa,20.75,73.6833,26.38,77,99,0.95,IN,1717982928
330,auki,-8.7676,160.7034,30.62,65,21,1.06,SB,1717982800
331,manismata,-2.4667,111.0333,28.25,76,94,1.64,ID,1717982928
332,north walsham,52.8212,1.3875,10.87,92,100,5.81,GB,1717982928
333,mata-utu,-13.2816,-176.1745,27.49,75,74,9.8,WF,1717982805
334,touros,-5.1989,-35.4608,25.45,81,87,6.19,BR,1717982928
335,lepsy,46.235,78.9456,26.75,33,0,3.51,KZ,1717982928
336,guiyang,26.5833,106.7167,20.27,94,40,2.0,CN,1717982698
337,morant bay,17.8815,-76.4093,29.79,90,100,3.76,JM,1717982929
338,saint-pierre,-21.3393,55.4781,20.82,73,75,3.6,RE,1717982929
339,meulaboh,4.1363,96.1285,24.98,89,100,1.85,ID,1717982929
340,bainbridge,47.6262,-122.5212,20.9,64,0,4.12,US,1717982929
341,chivilcoy,-34.8957,-60.0167,15.39,88,100,3.06,AR,1717982929
342,nizhniy kuranakh,58.8353,125.4869,19.79,55,87,1.28,RU,1717982929
343,ciudad lazaro cardenas,17.9583,-102.2,27.1,71,21,4.33,MX,1717982660
344,rio grande,-32.035,-52.0986,21.64,85,87,4.45,BR,1717982929
345,airali,44.767,7.3219,14.96,94,20,1.09,IT,1717982929
346,katima mulilo,-17.5,24.2667,10.83,77,0,2.5,NA,1717982675
347,ilha de mocambique,-15.0342,40.7358,24.47,69,83,10.06,MZ,1717982930
348,tikapur,28.5,81.1333,30.65,22,0,1.68,NP,1717982819
349,freetown,8.484,-13.2299,26.51,81,33,2.7,SL,1717982911
350,sake,-1.5736,29.045,16.36,88,35,0.83,CD,1717982930
351,renqiu,38.6989,116.0936,32.52,22,6,1.89,CN,1717982930
352,walvis bay,-22.9575,14.5053,17.83,61,6,3.97,NA,1717982930
353,douglas,41.3,-96.167,24.38,36,0,2.57,US,1717982749
354,keflavik,64.0049,-22.5624,6.24,87,0,3.6,IS,1717982931
355,tanjung sepat,2.6579,101.5629,29.08,84,20,1.54,MY,1717982931
356,smarhon,54.4791,26.3934,10.19,95,44,1.58,BY,1717982931
357,ketchikan,55.3422,-131.6461,16.06,29,75,6.17,US,1717982931
358,brookings,44.3114,-96.7984,21.36,46,0,4.63,US,1717982931
359,aketi,2.7388,23.7833,21.71,99,100,0.08,CD,1717982931
360,lufkin,31.3382,-94.7291,29.31,74,0,1.54,US,1717982773
361,port augusta,-32.5,137.7667,19.27,36,98,6.84,AU,1717982932
362,monastyryshche,48.9909,29.8047,16.52,96,19,3.03,UA,1717982932
363,zabid,14.1951,43.3152,31.24,57,85,3.1,YE,1717982932
